"pathogen";"scenario_id";"total_wif";"pasture_mix";"pasture_veh";"pasture_livestock";"pasture_wildlife";"pasture_total";"purchase_origin_prequaran";"purchase_veh_prequaran";"purchase_prequaran";"purchase_total";"purchase_origin";"purchase_veh";"visit_total";"neighbour_total";"no_purchase_total";"no_pasture_total";"wildlife_total";"total_current";"relative"
"IBR";"0";0.298634883773598;0.27626955422425;0;0.27626955422425;0;0.27626955422425;0.0288294994281779;0;0.0288294994281779;0.0288294994281779;0.0288294994281779;0;0.00030951285286851;5.17578989573941e-05;0.000373396830327111;0.0292077868095949;0;0.298634883773598;0.999999
"IBR";"Screening before pasture";0.0877294115750296;0.0603858470857246;0;0.0603858470857246;0;0.0603858470857246;0;0;0;0;0;0;0;0;0;0;0;0.298634883773598;0.2937681307236
"IBR";"No share pasture";0.0292077868095949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.298634883773598;0.0978043369901086
"IBR";"Test before transport";0.28782702607323;0;0;0;0;0;0.0150817995576392;0;0.0150817995576392;0.0150817995576392;0.0150817995576392;0;0;0;0;0.0154093486541195;0;0.298634883773598;0.963809125163816
"IBR";"No shared purchase transport";0.298094409852667;0;0;0;0;0;0.0287575742018138;0;0.0287575742018138;0.0287575742018138;0.0287575742018138;0;0;0;0;0.0291276137238908;0;0.298634883773598;0.998190184903713
"IBR";"Quarantine new animals";0.298634883773598;0;0;0;0;0;0.0288294994281779;0;0.0288294994281779;0.0288294994281779;0.0288294994281779;0;0;0;0;0.0292077868095949;0;0.298634883773598;0.999999
"IBR";"Test during quarantine";0.281079374369149;0;0;0;0;0;0.0288294994281779;0;0.0288294994281779;0.00533444111345316;0.0288294994281779;0;0;0;0;0.00570994495425958;0;0.298634883773598;0.941214136866348
"IBR";"Exclusive quarantine material";0.298634883773598;0;0;0;0;0;0.0288294994281779;0;0.0288294994281779;0.0288294994281779;0.0288294994281779;0;0;0;0;0.0292077868095949;0;0.298634883773598;0.999999
"IBR";"Test during quarantine with exclusive material";0.280798058059665;0;0;0;0;0;0.0288294994281779;0;0.0288294994281779;0.00531228081346524;0.0288294994281779;0;0;0;0;0.00569951764900645;0;0.298634883773598;0.940272129335515
"BVD";"0";0.972492441746376;0.969184051650599;0;0.969184051650599;0;0.969184051650599;0.10598326032838;0;0.10598326032838;0.10598326032838;0.10598326032838;0;0.000232255521961156;5.72986103009043e-13;0.000232255522045532;0.106180745051952;0;0.972492441746376;0.999999
"BVD";"Avoid mud on wateres";0.972492441746376;0;0;0;0;0.969184051650599;0;0;0;0;0;0;0;0;0;0;0;0.972492441746376;0.999999
"BVD";"Use high wateres";0.972492441746376;0;0;0;0;0.969184051650599;0;0;0;0;0;0;0;0;0;0;0;0.972492441746376;0.999999
"BVD";"Screening before pasture";0.574239753026293;0.523997611150331;0;0.523997611150331;0;0.523997611150331;0;0;0;0;0;0;0;0;0;0;0;0.972492441746376;0.590482484362643
"BVD";"No share pasture";0.106180745051952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.972492441746376;0.109184133977716
"BVD";"Test before transport";0.969266982854435;0;0;0;0;0;0.00169409798676756;0;0.00169409798676756;0.00169409798676756;0.00169409798676756;0;0;0;0;0.00193332584820516;0;0.972492441746376;0.996683306981647
"BVD";"No shared purchase transport";0.972546507949389;0;0;0;0;0;0.10584040688559;0;0.10584040688559;0.10584040688559;0.10584040688559;0;0;0;0;0.10604835931213;0;0.972492441746376;0.999999
"BVD";"Quarantine new animals";0.972492441746376;0;0;0;0;0;0.10598326032838;0;0.10598326032838;0.10598326032838;0.10598326032838;0;0;0;0;0.106180745051952;0;0.972492441746376;0.999999
"BVD";"Test during quarantine";0.969250266496833;0;0;0;0;0;0.10598326032838;0;0.10598326032838;0.00167403512624431;0.10598326032838;0;0;0;0;0.00191597946153044;0;0.972492441746376;0.996666117791393
"BVD";"Exclusive quarantine material";0.972492441746376;0;0;0;0;0;0.10598326032838;0;0.10598326032838;0.10598326032838;0.10598326032838;0;0;0;0;0.106180745051952;0;0.972492441746376;0.999999
"BVD";"Test during quarantine with exclusive material";0.969260749339939;0;0;0;0;0;0.10598326032838;0;0.10598326032838;0.00169288203059792;0.10598326032838;0;0;0;0;0.0019293519902891;0;0.972492441746376;0.996676897148286
"TB";"0";0.000374936469392018;0.000348366663921795;0;0.000348366663921795;1.81361741147246e-05;0.000373225113424303;9.63899078887387e-07;0;9.63899078887387e-07;9.63899078887387e-07;9.63899078887387e-07;0;2.73517662519041e-07;6.25020457611924e-09;2.9464603568119e-07;1.28968451895695e-06;0;0.000374936469392018;0.999999
"TB";"Avoid mud on wateres";0.000371449334088836;0;0;0;1.63759366594851e-05;0.00036997381171322;0;0;0;0;0;0;0;0;0;0;0;0.000374936469392018;0.99069939686359
"TB";"Use high wateres";0.000374217900942719;0;0;0;1.7624408589989e-05;0.000373192685376722;0;0;0;0;0;0;0;0;0;0;0;0.000374936469392018;0.998083492783555
"TB";"Screening before pasture";0.000148793018069915;0.000122333560861554;0;0.000122333560861554;0;0.000147478787986266;0;0;0;0;0;0;0;0;0;0;0;0.000374936469392018;0.396848613609638
"TB";"No share pasture";1.95215933249671e-05;0;0;0;0;1.81361741147246e-05;0;0;0;0;0;0;0;0;0;0;0;0.000374936469392018;0.0520664030272182
"TB";"Test before transport";0.000374274921685624;0;0;0;0;0;6.38110660200475e-07;0;6.38110660200475e-07;6.38110660200475e-07;6.38110660200475e-07;0;0;0;0;9.58756129265659e-07;0;0.000374936469392018;0.998235573862778
"TB";"No shared purchase transport";0.000374782990087086;0;0;0;0;0;9.69972081321657e-07;0;9.69972081321657e-07;9.69972081321657e-07;9.69972081321657e-07;0;0;0;0;1.30050700897222e-06;0;0.000374936469392018;0.999590652503928
"TB";"Quarantine new animals";0.000374936469392018;0;0;0;0;0;9.63899078887387e-07;0;9.63899078887387e-07;9.63899078887387e-07;9.63899078887387e-07;0;0;0;0;1.28968451895695e-06;0;0.000374936469392018;0.999999
"TB";"Test during quarantine";0.000373919611331486;0;0;0;0;0;9.63899078887387e-07;0;9.63899078887387e-07;3.36268269340856e-07;9.63899078887387e-07;0;0;0;0;6.55665854387699e-07;0;0.000374936469392018;0.997287919038175
"TB";"Exclusive quarantine material";0.000374936469392018;0;0;0;0;0;9.63899078887387e-07;0;9.63899078887387e-07;9.63899078887387e-07;9.63899078887387e-07;0;0;0;0;1.28968451895695e-06;0;0.000374936469392018;0.999999
"TB";"Test during quarantine with exclusive material";0.000374047620981699;0;0;0;0;0;9.63899078887387e-07;0;9.63899078887387e-07;3.34068689489264e-07;9.63899078887387e-07;0;0;0;0;6.47918003915393e-07;0;0.000374936469392018;0.997629335946541
"IBR";"Do not allow vehicles to enter in the farm perimeter";0.298630191469404;0;0;0;0;0;0;0;0;0;0;0;0.000237367063364746;0;0.000301463990128537;0.0291444893510349;0;0.298634883773598;0.999984287488002
"BVD";"Do not allow vehicles to enter in the farm perimeter";0.972492125023676;0;0;0;0;0;0;0;0;0;0;0;0.00018174965964346;0;0.000181749662558239;0.106143115110267;0;0.972492441746376;0.999999674318599
"TB";"Do not allow vehicles to enter in the farm perimeter";0.000375099975898574;0;0;0;0;0;0;0;0;0;0;0;2.10379374920855e-07;0;2.31673128014975e-07;1.21250878171164e-06;0;0.000374936469392018;0.999999
"IBR";"Provide boots to all visitors";0.298492786616507;0;0;0;0;0;0;0;0;0;0;0;0.00010407252121436;0;0.000167925787752599;0.0290147420867856;0;0.298634883773598;0.999524177633585
"BVD";"Provide boots to all visitors";0.972484886873785;0;0;0;0;0;0;0;0;0;0;0;7.14297782469231e-05;0;7.14297795928465e-05;0.106049976291928;0;0.972492441746376;0.999992231433102
"TB";"Provide boots to all visitors";0.000374793031721832;0;0;0;0;0;0;0;0;0;0;0;8.53352247753847e-08;0;1.059477674481e-07;1.08993138514535e-06;0;0.000374936469392018;0.999617434733894
"IBR";"Do not share equipment with other farms";0.298631456108382;0;0;0;0;0;0;0;0;0;0;0;0.000272448426640648;0;0.000343274719437292;0.0291721083928584;0;0.298634883773598;0.999988522220938
"BVD";"Do not share equipment with other farms";0.972490204249271;0;0;0;0;0;0;0;0;0;0;0;0.000201330700925317;0;0.000201330700970614;0.106159536624021;0;0.972492441746376;0.999997699213886
"TB";"Do not share equipment with other farms";0.000374906879185399;0;0;0;0;0;0;0;0;0;0;0;2.3623006495388e-07;0;2.61131580692187e-07;1.25939717665613e-06;0;0.000374936469392018;0.999921079412023
